,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
346,Kaya,BF,13.0917,-1.0844,89.33,46,30,2.1,scattered clouds
347,Gunjur,GM,13.2019,-16.7339,82.47,78,40,11.5,scattered clouds
348,Palmas Bellas,PA,9.2319,-80.0867,81.25,85,100,5.12,overcast clouds
349,Ekhabi,RU,53.5102,142.9671,63.64,80,10,15.84,clear sky
350,Asfi,MA,32.2994,-9.2372,68.79,81,0,13.76,clear sky
351,Maragogi,BR,-9.0122,-35.2225,76.3,89,41,12.01,scattered clouds
352,Codrington,AU,-38.2667,141.9667,49.71,67,99,8.08,overcast clouds
353,Sakakah,SA,29.9697,40.2064,90.97,20,0,9.48,clear sky
354,Manuk Mangkaw,PH,4.8,119.85,84.25,73,100,11.45,overcast clouds
355,Sawankhalok,TH,17.316,99.8319,76.05,89,100,3.76,overcast clouds
356,Namibe,AO,-15.1961,12.1522,66.67,79,3,6.46,clear sky
357,Onega,RU,63.9061,38.1404,60.93,73,100,6.4,overcast clouds
358,Qandala,SO,11.472,49.8728,90.34,48,55,7.0,broken clouds
359,Shingu,JP,33.7333,135.9833,73.18,84,47,3.78,scattered clouds
360,Benguela,AO,-12.5763,13.4055,69.26,78,7,2.26,clear sky
361,Jurm,AF,36.8648,70.8342,72.63,28,0,1.1,clear sky
362,Young,UY,-32.6833,-57.6333,55.4,82,91,9.86,overcast clouds
363,Katsuura,JP,35.1333,140.3,75.7,90,16,12.57,few clouds
364,Harper,LR,4.375,-7.7169,77.13,76,100,10.74,overcast clouds
365,Victoria Point,AU,-27.5833,153.3,59.92,98,100,1.01,light rain
366,San Policarpo,PH,12.1791,125.5072,79.57,82,100,4.16,overcast clouds
367,Hamilton,US,39.1834,-84.5333,93.25,58,40,11.5,scattered clouds
368,Takoradi,GH,4.8845,-1.7554,75.52,84,38,8.59,scattered clouds
369,Tabou,CI,4.423,-7.3528,76.95,77,100,10.33,overcast clouds
370,Huarmey,PE,-10.0681,-78.1522,68.29,70,4,11.5,clear sky
371,Port-Gentil,GA,-0.7193,8.7815,75.16,88,75,6.91,broken clouds
372,Marsa Matruh,EG,31.3525,27.2453,79.0,73,0,9.22,clear sky
373,Banda Aceh,ID,5.5577,95.3222,78.75,84,100,14.12,light rain
374,Eldorado,BR,-23.7869,-54.2836,74.21,58,0,7.67,clear sky
375,Kushima,JP,31.4583,131.2333,75.0,96,83,7.09,broken clouds
376,Isiro,CD,2.7739,27.616,68.41,85,67,1.01,light rain
377,Izmit,TR,40.7669,29.9169,71.58,80,20,5.75,few clouds
378,Isangel,VU,-19.55,169.2667,72.88,85,32,9.93,scattered clouds
379,Grindavik,IS,63.8424,-22.4338,53.55,87,100,13.8,overcast clouds
380,Namwala,ZM,-15.7504,26.4384,62.56,56,100,4.81,overcast clouds
381,Riyadh,SA,24.6877,46.7219,96.94,11,87,9.84,overcast clouds
382,Muscat,OM,23.6139,58.5922,89.62,67,37,5.66,scattered clouds
383,Thetford Mines,CA,46.0913,-71.3013,76.95,89,100,6.96,overcast clouds
384,Olinda,BR,-8.0089,-34.8553,82.13,78,20,8.05,few clouds
385,Nara,JP,34.6851,135.8049,80.49,64,42,1.54,scattered clouds
386,Pisco,PE,-13.7,-76.2167,65.01,77,20,9.22,few clouds
387,Maningrida,AU,-12.0667,134.2667,66.45,75,93,15.12,overcast clouds
388,San Quintin,MX,30.4833,-115.95,75.2,65,0,16.08,clear sky
389,Port Barton,PH,10.4756,119.2472,80.22,85,100,7.78,overcast clouds
390,Waddan,LY,29.1614,16.139,92.64,20,0,10.78,clear sky
391,Okulovka,RU,58.4008,33.2908,58.69,64,15,5.32,few clouds
392,Yulara,AU,-25.2406,130.9889,42.93,72,0,12.71,clear sky
393,Dukat,RU,62.55,155.55,53.65,53,89,15.01,overcast clouds
394,Esil,KZ,51.9556,66.4042,58.03,58,52,5.82,broken clouds
395,Zyryanka,RU,65.75,150.85,60.39,47,100,8.68,overcast clouds
396,Lasa,IT,46.6166,10.7002,61.68,92,48,2.71,scattered clouds
397,Solok,ID,-0.7918,100.6593,67.69,85,33,1.95,scattered clouds
398,Meulaboh,ID,4.1363,96.1285,74.05,97,100,1.63,moderate rain
399,Te Anau,NZ,-45.4167,167.7167,39.92,92,44,2.68,scattered clouds
400,Santa Rosa,PH,14.3122,121.1114,80.58,85,100,5.66,overcast clouds
401,Marystown,CA,47.1666,-55.1483,62.85,100,100,5.01,overcast clouds
402,Hualmay,PE,-11.0964,-77.6139,66.36,72,10,10.98,clear sky
403,Barra Patuca,HN,15.8,-84.2833,83.17,75,83,12.95,broken clouds
404,Mandaguacu,BR,-23.3472,-52.0953,76.6,47,40,8.05,scattered clouds
405,Shiyan,CN,32.6475,110.7781,72.91,91,100,2.75,overcast clouds
406,Batagay,RU,67.6333,134.6333,55.11,67,92,0.83,overcast clouds
407,Tefe,BR,-3.3542,-64.7114,80.71,89,75,3.44,broken clouds
408,Dzilam Gonzalez,MX,21.2833,-88.9333,90.64,54,76,12.17,broken clouds
409,Chaohu,CN,31.6,117.8667,76.77,88,88,6.4,overcast clouds
410,Port Maria,JM,18.3685,-76.8895,92.05,73,100,13.49,overcast clouds
411,Yantal,RU,56.8471,105.2542,61.99,87,75,2.64,broken clouds
412,Andros Town,BS,24.7,-77.7667,87.76,70,73,17.69,broken clouds
413,Leningradskiy,RU,69.3833,178.4167,42.15,83,92,3.44,overcast clouds
414,Kloulklubed,PW,7.0419,134.2556,75.7,74,80,7.94,moderate rain
415,Barranca,PE,-10.75,-77.7667,65.64,72,14,11.12,few clouds
416,Pryazha,RU,61.6926,33.6216,65.43,70,4,4.09,clear sky
417,Port Macquarie,AU,-31.4333,152.9167,52.9,94,100,4.5,light rain
418,Tulun,RU,54.5611,100.5792,59.4,97,100,9.24,light rain
419,Nemuro,JP,43.3236,145.575,55.22,97,31,9.24,scattered clouds
420,Marzuq,YE,14.4,46.4667,83.68,46,96,5.01,overcast clouds
421,Concepcion Del Uruguay,AR,-32.4825,-58.2372,58.98,81,99,4.0,overcast clouds
422,Russell,US,32.3502,-85.1999,92.97,51,0,3.44,clear sky
423,Abu Kamal,SY,34.4506,40.9171,89.71,21,0,9.66,clear sky
424,Vila Velha,BR,-20.3297,-40.2925,76.95,84,20,9.22,few clouds
425,Ibra,OM,22.6906,58.5334,89.8,44,80,5.86,broken clouds
426,Mezen,RU,65.8522,44.24,47.12,92,93,7.92,overcast clouds
427,Saint-Augustin,CA,51.226,-58.6502,67.6,57,35,10.07,scattered clouds
428,Rezekne,LV,56.5,27.3167,67.86,66,100,5.3,overcast clouds
429,Galle,LK,6.0367,80.217,80.94,83,27,19.48,scattered clouds
430,Sidi Ali,DZ,36.0998,0.4206,78.24,68,89,7.11,overcast clouds
431,Matara,LK,5.9485,80.5353,80.35,83,16,16.28,few clouds
432,Waingapu,ID,-9.6567,120.2641,76.23,89,97,7.14,overcast clouds
433,Causapscal,CA,48.3542,-67.227,64.71,96,100,2.89,overcast clouds
434,Shache,CN,38.4167,77.2406,90.72,10,98,7.05,overcast clouds
435,Yatou,CN,37.15,122.3833,71.89,94,97,12.86,moderate rain
436,Sorrento,IT,40.626,14.3744,84.87,74,0,0.0,clear sky
437,Jalu,LY,29.0331,21.5482,90.07,21,0,15.3,clear sky
438,Agidel,RU,55.9077,53.9355,52.84,91,1,7.36,clear sky
439,Lorengau,PG,-2.0226,147.2712,81.86,78,57,11.88,broken clouds
440,Maple Creek,CA,49.9168,-109.4848,75.25,29,10,3.44,clear sky
441,Moville,US,42.4889,-96.0725,84.69,42,45,1.48,scattered clouds
442,Longyearbyen,SJ,78.2186,15.6401,44.44,87,75,4.61,broken clouds
443,Qui Nhon,VN,13.7667,109.2333,82.27,74,100,7.47,overcast clouds
444,Jelah,BA,44.6542,17.9581,76.86,56,0,3.18,clear sky
445,Luneburg,DE,53.25,10.4,64.15,89,89,1.66,overcast clouds
446,Monrovia,LR,6.3005,-10.7969,78.57,82,100,9.6,overcast clouds
447,Inirida,CO,3.8653,-67.9239,79.14,81,93,0.83,overcast clouds
448,Lufilufi,WS,-13.8745,-171.5986,73.18,66,7,18.5,clear sky
449,Kempsey,AU,-31.0833,152.8333,52.95,97,100,3.0,moderate rain
450,Sorgun,TR,39.8101,35.186,57.92,75,3,6.87,clear sky
451,Stornoway,GB,58.2093,-6.3865,55.92,90,100,2.3,overcast clouds
452,Aromashevo,RU,56.8602,68.6375,50.38,94,61,7.18,broken clouds
453,Tateyama,JP,34.9833,139.8667,76.1,90,88,13.38,overcast clouds
454,Caracoli,CO,6.4119,-74.7606,84.63,53,100,3.49,overcast clouds
455,Stolin,BY,51.8912,26.846,68.34,64,54,6.89,broken clouds
456,Chingirlau,KZ,51.095,54.0814,61.11,55,37,9.53,scattered clouds
457,Bolshaya Dzhalga,RU,45.9695,42.6966,69.67,39,3,7.78,clear sky
458,Eureka,US,40.8021,-124.1637,59.94,80,68,5.99,broken clouds
459,Feijo,BR,-8.1642,-70.3536,90.81,36,4,0.96,clear sky
460,Sri Aman,MY,1.2376,111.4621,78.85,94,100,0.0,overcast clouds
461,Sao Borja,BR,-28.6606,-56.0044,72.95,79,0,10.4,clear sky
462,Ballina,AU,-28.8667,153.5667,56.01,99,100,11.1,moderate rain
463,Auki,SB,-8.7676,160.7034,76.59,87,18,5.84,few clouds
464,Mehamn,NO,71.0357,27.8492,53.55,82,0,3.44,clear sky
465,Hervey Bay,AU,-25.2986,152.8535,61.02,97,100,11.01,moderate rain
466,Alugan,PH,12.2188,125.4808,79.03,84,100,4.05,overcast clouds
467,Caborca,MX,30.5838,-111.101,92.61,35,7,5.91,clear sky
468,Taywarah,AF,33.35,64.4167,62.62,23,0,4.9,clear sky
469,Ostrovnoy,RU,68.0531,39.5131,45.55,96,100,7.67,overcast clouds
470,Yenagoa,NG,4.9247,6.2642,74.37,93,100,3.83,overcast clouds
471,Parana,AR,-31.732,-60.5238,69.49,63,0,5.99,clear sky
472,San Juan,AR,-31.5375,-68.5364,63.81,23,0,17.07,clear sky
473,Greenville,US,35.6127,-77.3663,87.84,62,0,13.8,clear sky
474,Comodoro Rivadavia,AR,-45.8667,-67.5,40.86,65,40,9.22,scattered clouds
475,Ontario,US,34.0633,-117.6509,98.87,33,20,10.36,few clouds
476,Severnyy,RU,50.677,36.5532,60.84,48,0,6.71,clear sky
477,Talara,PE,-4.5772,-81.2719,72.36,64,0,13.8,clear sky
478,Mackenzie,CA,55.2999,-123.1698,59.22,77,100,6.91,overcast clouds
479,Saint-Francois,FR,46.4154,3.9054,63.84,55,0,4.61,clear sky
480,Placido De Castro,BR,-10.3353,-67.1856,91.2,31,1,3.65,clear sky
481,Husavik,IS,66.0449,-17.3389,47.88,94,99,6.04,overcast clouds
482,State College,US,40.7934,-77.86,86.22,63,42,5.01,scattered clouds
483,Buin,CL,-33.7333,-70.75,50.11,83,100,5.26,overcast clouds
484,Burnie,AU,-41.0667,145.9167,42.67,80,18,8.01,few clouds
485,Makinsk,KZ,52.6292,70.4169,50.94,69,5,4.16,clear sky
486,Yueyang,CN,29.3333,113.0919,79.74,83,72,1.63,broken clouds
487,Trairi,BR,-3.2778,-39.2689,80.13,77,8,8.57,clear sky
488,Vanderhoof,CA,54.0166,-124.0198,77.97,43,15,2.01,few clouds
489,Cuenca,EC,-2.8833,-78.9833,68.13,45,75,6.91,broken clouds
490,Pinar Del Rio,CU,22.4175,-83.6981,89.6,53,46,11.86,scattered clouds
491,Santa Fe,AR,-31.6333,-60.7,69.94,62,0,1.99,clear sky
492,Thaton,MM,16.9206,97.3714,75.83,93,100,3.29,overcast clouds
493,Basco,PH,20.4487,121.9702,78.06,87,100,5.39,overcast clouds
494,Goderich,CA,43.7501,-81.7165,75.52,60,100,6.91,overcast clouds
495,Kirksville,US,40.1948,-92.5833,78.75,71,100,9.22,overcast clouds
496,Asosa,ET,10.0667,34.5333,60.28,84,100,4.88,overcast clouds
497,Ogaminana,NG,7.5946,6.2248,72.77,93,99,4.92,overcast clouds
498,Srandakan,ID,-7.9386,110.2506,75.9,87,11,9.48,few clouds
499,Voh,NC,-20.9667,164.7,66.65,88,100,3.33,overcast clouds
500,Gorele,TR,41.0308,39.0031,70.03,80,89,7.16,overcast clouds
501,Wuda,CN,39.4994,106.7117,78.55,37,100,4.07,overcast clouds
502,Marawi,PH,7.9986,124.2928,68.13,95,97,2.64,overcast clouds
503,Brigantine,US,39.4101,-74.3646,89.8,70,20,14.97,few clouds
504,Cairns,AU,-16.9167,145.7667,72.07,97,100,10.36,overcast clouds
505,El Alto,PE,-4.2714,-81.2147,69.46,71,16,20.65,few clouds
506,Dharchula,IN,29.85,80.5333,72.91,95,98,1.63,overcast clouds
507,Amarante Do Maranhao,BR,-5.5667,-46.7422,81.19,62,100,4.14,overcast clouds
508,Lawton,US,34.6087,-98.3903,99.07,32,20,8.99,few clouds
509,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,76,0,11.21,clear sky
510,Sunland Park,US,31.7965,-106.58,96.91,29,0,5.75,clear sky
511,Champerico,GT,14.3,-91.9167,93.74,71,34,8.43,scattered clouds
512,Mayumba,GA,-3.432,10.6554,71.44,91,6,6.62,clear sky
513,Yumen,CN,40.2833,97.2,77.77,19,0,4.56,clear sky
514,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,90.77,21,0,5.84,clear sky
515,Nanortalik,GL,60.1432,-45.2371,43.86,79,18,11.65,few clouds
516,Neryungri,RU,56.6709,124.6491,62.67,90,25,3.29,light rain
517,Carbonia,IT,39.1672,8.5222,79.75,65,0,7.65,clear sky
518,Diego De Almagro,CL,-26.3667,-70.05,67.03,28,0,6.26,clear sky
519,Shediac,CA,46.2198,-64.5411,81.36,47,75,14.97,broken clouds
520,San Juan De Uraba,CO,8.7592,-76.5297,84.43,76,95,4.83,overcast clouds
521,Atar,MR,20.5169,-13.0499,95.72,13,7,10.25,clear sky
522,East Moline,US,41.5009,-90.4443,78.94,68,75,5.99,broken clouds
523,Chandler,US,33.3062,-111.8412,106.23,25,0,5.75,"sand,dust whirls"
524,Tougue,GN,11.4667,-11.6,69.8,89,80,3.0,moderate rain
525,Providencia,MX,28.7167,-111.5833,101.21,43,43,7.4,scattered clouds
526,Whitehorse,CA,60.7161,-135.0538,74.17,44,40,4.61,smoke
527,Pacific Grove,US,36.6177,-121.9166,71.2,83,75,9.22,broken clouds
528,Strezhevoy,RU,60.7333,77.5889,53.4,97,100,9.33,moderate rain
529,Sumkino,RU,58.1108,68.3244,51.62,80,96,5.73,overcast clouds
530,Butembo,CD,0.15,29.2833,59.68,70,56,3.22,broken clouds
531,Ahvaz,IR,31.3203,48.6693,100.35,12,0,9.22,clear sky
532,Victor Harbor,AU,-35.5667,138.6167,45.68,79,96,4.41,overcast clouds
533,Waikuku,NZ,-43.3,172.6833,34.5,78,3,2.44,clear sky
534,Boende,CD,-0.2167,20.8667,72.46,87,95,3.67,overcast clouds
535,Lovozero,RU,68.005,35.0117,55.6,81,0,6.53,clear sky
536,Kambove,CD,-10.8764,26.5969,57.74,64,0,5.73,clear sky
537,Atambua,ID,-9.1061,124.8925,72.07,91,52,3.83,broken clouds
538,Katangli,RU,51.7102,143.2326,60.44,81,7,21.03,clear sky
539,Leh,IN,34.1667,77.5833,67.73,38,40,1.5,scattered clouds
540,Aksarka,RU,66.5606,67.7975,51.91,54,100,5.06,overcast clouds
541,Ocos,GT,14.5094,-92.1933,85.37,71,36,8.66,scattered clouds
542,North Las Vegas,US,36.1989,-115.1175,105.64,6,0,19.57,clear sky
543,Juneau,US,58.3019,-134.4197,65.84,85,75,9.22,broken clouds
544,Selty,RU,57.3132,52.1345,50.2,82,99,5.08,overcast clouds
545,Mahajanga,MG,-15.7167,46.3167,69.82,64,20,4.61,few clouds
546,Talpa,MX,28.8257,-111.6257,101.16,40,44,1.99,scattered clouds
547,Gujrat,PK,32.5728,74.079,84.16,58,78,3.51,broken clouds
548,Yabassi,CM,4.457,9.9682,73.36,94,53,1.1,broken clouds
549,Mudgee,AU,-32.5943,149.5871,48.61,100,75,1.14,shower rain
550,Wadsworth,US,41.0256,-81.7299,91.51,42,100,12.21,overcast clouds
551,Igarka,RU,67.4667,86.5833,54.34,67,83,10.76,broken clouds
552,Sanmenxia,CN,34.7747,111.1814,75.99,74,100,6.85,overcast clouds
553,Mahibadhoo,MV,3.7833,72.9667,81.52,79,100,19.01,overcast clouds
554,Kushiro,JP,42.975,144.3747,59.27,96,100,2.44,overcast clouds
555,Khani,GE,41.9563,42.9566,60.37,99,100,1.83,overcast clouds
556,Kikwit,CD,-5.041,18.8162,77.61,34,27,2.68,scattered clouds
557,Kawalu,ID,-7.3817,108.2082,71.42,97,90,0.36,overcast clouds
558,Morondava,MG,-20.2833,44.2833,69.24,59,0,9.44,clear sky
559,Zhuhai,CN,22.2769,113.5678,80.38,89,40,27.63,light rain
560,Mersing,MY,2.4312,103.8405,76.91,88,40,5.75,scattered clouds
561,La Asuncion,VE,11.0333,-63.8628,83.93,79,98,9.22,overcast clouds
562,Corralillo,CU,22.9819,-80.5856,85.62,68,49,17.65,scattered clouds
563,Karabulak,RU,43.3036,44.8964,67.19,92,90,5.26,overcast clouds
564,Altay,CN,47.8667,88.1167,57.38,75,6,2.08,clear sky
565,Muyezerskiy,RU,63.9333,31.65,70.9,57,37,2.75,scattered clouds
566,Raudeberg,NO,61.9875,5.1352,68.67,69,100,4.52,overcast clouds
567,Abu Dhabi,AE,24.4667,54.3667,91.51,78,0,6.91,clear sky
568,Port-Cartier,CA,50.0334,-66.8654,61.02,76,100,4.7,overcast clouds
569,Lazaro Cardenas,MX,17.9583,-102.2,87.03,67,61,8.88,broken clouds
570,North Bend,US,43.4065,-124.2243,67.24,91,100,11.5,overcast clouds
571,Zinder,NE,13.8072,8.9881,89.69,39,100,6.08,light rain
572,Lazurne,UA,46.084,32.5295,73.24,67,0,3.44,clear sky
573,Chingola,ZM,-12.529,27.8838,57.34,76,74,5.28,broken clouds
574,Anadyr,RU,64.75,177.4833,48.7,93,75,17.9,light rain
575,Cayenne,GF,4.9333,-52.3333,86.04,1,75,12.66,broken clouds
576,Westport,US,41.1415,-73.3579,94.44,61,0,14.97,clear sky
577,Yar-Sale,RU,66.8333,70.8333,48.97,61,44,10.94,scattered clouds
578,Cabedelo,BR,-6.9811,-34.8339,83.07,84,15,9.93,few clouds
579,Georgiyevka,KZ,43.0369,74.7114,66.24,59,40,4.47,scattered clouds
580,Killybegs,IE,54.6333,-8.45,56.91,85,59,13.71,broken clouds
581,Pokrovsk,UA,48.282,37.1758,65.26,60,24,10.69,few clouds
582,Mount Isa,AU,-20.7333,139.5,51.57,82,100,12.66,overcast clouds
583,Belaya Gora,RU,68.5333,146.4167,50.88,77,100,9.28,overcast clouds
584,Adelaide,AU,-34.9333,138.6,47.86,79,40,3.44,scattered clouds
585,Akdepe,TM,42.0551,59.3788,80.69,21,76,15.17,broken clouds
586,Pierre,US,44.3683,-100.351,87.85,32,0,8.05,clear sky
587,Touros,BR,-5.1989,-35.4608,79.21,80,41,11.63,scattered clouds
588,Aswan,EG,24.0934,32.907,96.1,16,0,11.5,clear sky
589,Kalmunai,LK,7.4167,81.8167,82.54,75,94,2.95,overcast clouds
590,Clermont,FR,49.5,2.4167,65.84,64,100,3.71,overcast clouds
591,Kieta,PG,-6.2167,155.6333,78.17,87,32,6.02,light rain
592,Gemena,CD,3.25,19.7667,69.04,99,72,3.09,light rain
593,Svetlogorsk,BY,52.6333,29.7333,65.03,83,100,5.32,overcast clouds
594,Lima,PE,-12.0432,-77.0282,68.9,69,100,11.5,overcast clouds
595,Esmeraldas,BR,-19.7625,-44.3139,75.31,36,0,8.7,clear sky
596,Bakchar,RU,57.0186,82.0711,51.51,99,100,7.81,light rain
597,Asau,RO,46.4333,26.4,74.32,79,86,4.0,overcast clouds
598,Sompeta,IN,18.9333,84.6,82.38,84,98,9.15,moderate rain
599,Lulea,SE,65.5842,22.1547,75.27,57,0,5.75,clear sky
600,Kudahuvadhoo,MV,2.6708,72.8944,79.72,83,100,15.03,overcast clouds
601,Masuda,JP,34.6667,131.85,75.83,75,22,4.18,few clouds
602,Rio Claro,BR,-22.4114,-47.5614,73.36,40,0,1.72,clear sky
603,Santa Lucia,ES,27.9117,-15.5407,65.77,64,75,24.16,broken clouds
604,Praia,CV,14.9215,-23.5087,79.34,65,20,14.97,few clouds
605,Belene,BG,43.65,25.1167,79.5,40,4,5.97,clear sky
606,Vestmannaeyjar,IS,63.4427,-20.2734,54.59,87,20,9.22,few clouds
607,Bitung,ID,1.4451,125.1824,79.27,83,77,6.17,broken clouds
608,Half Moon Bay,US,37.4636,-122.4286,79.05,70,75,16.11,mist
609,Condega,NI,13.365,-86.3985,83.39,60,100,10.33,overcast clouds
610,Kholtoson,RU,50.2981,103.3097,60.4,59,92,2.3,overcast clouds
611,Toora-Khem,RU,52.4675,96.11,55.62,99,100,3.85,moderate rain
612,Olafsvik,IS,64.8945,-23.7142,49.73,87,37,11.48,scattered clouds
613,Ahuimanu,US,21.4447,-157.8378,83.34,73,40,17.27,scattered clouds
614,Poya,NC,-21.35,165.15,68.27,86,59,3.4,broken clouds
615,West Wendover,US,40.7391,-114.0733,88.81,17,0,9.22,clear sky
616,Saint Anthony,US,45.0205,-93.218,84.24,35,20,18.41,few clouds
617,Jining,CN,35.405,116.5814,77.9,82,67,5.57,broken clouds
618,Costa Rica,BR,-23.4167,-54.65,76.3,51,0,7.52,clear sky
619,Mareeba,AU,-17.0,145.4333,67.44,94,100,3.49,overcast clouds
620,Cap Malheureux,MU,-19.9842,57.6142,67.46,76,67,1.99,light rain
621,Muana,BR,-1.5283,-49.2167,81.55,72,89,3.29,overcast clouds
622,Charlestown,AU,-32.95,151.6667,54.73,96,100,8.5,light rain
623,Dawson Creek,CA,55.7666,-120.2362,56.84,82,100,6.91,overcast clouds
624,Jinchang,CN,38.4953,102.1739,72.97,31,0,7.65,clear sky
625,Gondanglegi,ID,-7.7479,112.0132,74.62,90,35,10.33,scattered clouds
626,Juba,SS,4.8517,31.5825,74.98,70,90,6.29,overcast clouds
627,Ko Samui,TH,9.5357,99.9357,83.39,76,100,22.26,overcast clouds
628,Havelock,US,34.8791,-76.9013,80.55,86,100,4.0,overcast clouds
629,Hofn,IS,64.2539,-15.2082,53.1,84,13,8.95,few clouds
630,Columbus,US,39.9612,-82.9988,94.06,45,75,16.11,broken clouds
631,Carupano,VE,10.6678,-63.2585,81.09,81,98,5.88,overcast clouds
632,Tabatinga,BR,-4.2525,-69.9381,87.89,62,40,6.91,light intensity drizzle
633,Roma,US,43.2128,-75.4557,89.73,43,20,8.05,few clouds
634,Kuopio,FI,62.8924,27.677,76.95,50,0,3.44,clear sky
635,High Level,CA,58.5169,-117.136,66.31,42,75,5.75,broken clouds
636,Luanda,AO,-8.8368,13.2343,71.6,83,0,8.05,clear sky
637,Benjamin Hill,MX,30.1667,-111.1,89.2,40,53,3.13,broken clouds
638,Jacmel,HT,18.2342,-72.5347,86.23,63,100,8.39,overcast clouds
639,Gravdal,NO,68.1214,13.5031,69.69,68,0,2.3,clear sky
640,Vaitape,PF,-16.5167,-151.75,78.85,69,2,20.76,clear sky
641,Rajpipla,IN,21.8667,73.5,80.15,85,100,10.36,overcast clouds
642,Carutapera,BR,-1.195,-46.02,81.16,73,33,6.38,scattered clouds
643,Sabattus,US,44.1198,-70.1076,90.3,52,0,9.22,clear sky
644,Saint-Pierre,RE,-21.3393,55.4781,69.48,62,100,12.66,overcast clouds
645,Aldergrove,CA,49.058,-122.4709,78.57,65,20,9.22,few clouds
646,Churapcha,RU,62.0025,132.4325,61.93,71,98,2.98,overcast clouds
647,Primorsk,UA,46.7348,36.3443,71.82,51,0,14.2,clear sky
648,Kabalo,CD,-6.05,26.9167,77.67,42,19,4.61,few clouds
649,Candolim,IN,15.5181,73.7626,80.6,89,75,10.36,broken clouds
650,Piste,MX,20.7,-88.5833,93.25,55,75,10.36,broken clouds
651,Sao Felix Do Xingu,BR,-6.6447,-51.995,89.64,40,29,2.51,scattered clouds
652,Xining,CN,36.6167,101.7667,50.85,89,17,2.64,few clouds
653,Imeni Poliny Osipenko,RU,52.4201,136.4853,67.48,95,5,6.06,clear sky
654,Tautira,PF,-17.7333,-149.15,77.0,71,27,23.67,scattered clouds
655,Grand-Santi,GF,4.25,-54.3833,83.03,67,79,5.82,broken clouds
656,Pombia,IT,45.653,8.6336,82.26,54,0,6.91,clear sky
657,Isesaki,JP,36.3167,139.2,78.66,58,0,3.56,clear sky
658,Zemio,CF,5.0314,25.1361,67.06,94,100,1.92,light rain
659,Puerto Carreno,CO,6.189,-67.4859,85.98,66,20,4.61,few clouds
660,Prince Rupert,CA,54.3161,-130.3201,57.29,91,100,5.75,overcast clouds
661,Boddam,GB,57.4667,-1.7833,57.58,88,100,5.1,overcast clouds
662,Yerbogachen,RU,61.2767,108.0108,60.8,74,66,5.35,broken clouds
663,Raga,SS,8.4596,25.678,70.18,92,42,3.18,scattered clouds
664,Skjervoy,NO,70.0311,20.9714,68.0,89,0,0.94,clear sky
665,Tomohon,ID,1.3346,124.8392,66.94,92,94,2.71,overcast clouds
666,Novikovo,RU,51.1537,37.8879,53.49,72,5,7.96,clear sky
667,Concepcion Del Oro,MX,24.6333,-101.4167,74.61,35,98,2.04,overcast clouds
